Question,Answer
你最喜欢的菜系是什么，为什么？,没有最喜欢的，都喜欢！不同的饮食反应了不同的文化，explore饮食文化是一件非常有趣的事情。你最喜欢什么菜系？
对你影响最大的一本书是哪一本,没有吧……这个问题有点宽泛，不同领域会有不同的书吧……
你最喜欢的音乐类型是什么？,看心情的，总体来说，喜欢古典/纯音乐，古风，流行，有些rap也不错
你通常如何开始新的一天？,Yoga & meditation！
你最喜欢的爱好或消遣是什么？,上课
描述一下你理想的周末。,睡到自然醒，然后出去吃个brunch，在附近找个没去过的地方逛逛，喝个下午茶，聊聊天，做做项目上上课。你呢？
能分享一次难忘的旅行经历吗？,旅行很少，不过高中的时候去英国的经历还挺特别的；以及，住Ritz Calton感觉不错。
你生命中最具挑战性的时刻是什么，你是如何克服的？,很多次吧……最终也没有克服，就是……find another way out.
在你的职业生涯中，你学到的最宝贵的教训是什么？,Be proactive
你对环境保护的立场是什么？,保护环境是重要的，但是是不是最重要的，不一定。
你如何看待科技对日常生活的影响？,科技帮助生产力的发展，科技的对生活的渗透帮助我们更好的生活，大方向上是这样的，但是在具体的细节中，人要首先成为人。
你对教育的重要性有什么看法？,对我来说非常重要，曾经我以为对所有人都这样。但后来发现，每个人都有自己不同的方式度过一生。
未来五年你的目标是什么？,为社会创造价值；为自己earn自由。
如果你可以学习一项新技能，那会是什么？,快速学习的技能
十年后你看到自己在哪里？,工作时在美国，度假时在欧洲。
对你来说，成功意味着什么？,实现自己的愿望。
你如何定义幸福？,实现愿望。
你生活中的核心价值观是什么？,善良。
